Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH13674,http://cs.wikipedia.org/wiki/E-learning,1,,
http://psh.ntkcz.cz/skos/PSH7497,http://cs.wikipedia.org/wiki/Tenzorová analýza,1,,
http://psh.ntkcz.cz/skos/PSH320,http://cs.wikipedia.org/wiki/Astronomie,1,,
http://psh.ntkcz.cz/skos/PSH2941,http://cs.wikipedia.org/wiki/Rychlost,1,,
http://psh.ntkcz.cz/skos/PSH6815,http://cs.wikipedia.org/wiki/Lexikologie,1,,
http://psh.ntkcz.cz/skos/PSH1635,http://cs.wikipedia.org/wiki/Zdravotní pojištění,1,,
http://psh.ntkcz.cz/skos/PSH7336,http://cs.wikipedia.org/wiki/Diferenciální geometrie,1,,
http://psh.ntkcz.cz/skos/PSH5759,http://cs.wikipedia.org/wiki/Aktinium,1,,
http://psh.ntkcz.cz/skos/PSH6660,http://cs.wikipedia.org/wiki/Přesvědčování,1,,
http://psh.ntkcz.cz/skos/PSH12516,http://cs.wikipedia.org/wiki/Umělá inteligence,1,,
http://psh.ntkcz.cz/skos/PSH12231,http://cs.wikipedia.org/wiki/Ozbrojený konflikt,1,,
http://psh.ntkcz.cz/skos/PSH3200,http://cs.wikipedia.org/wiki/Teplotní stupnice,1,,
http://psh.ntkcz.cz/skos/PSH6751,http://cs.wikipedia.org/wiki/Dánština,1,,
http://psh.ntkcz.cz/skos/PSH3335,http://cs.wikipedia.org/wiki/Luminiscence,1,,
http://psh.ntkcz.cz/skos/PSH13299,http://cs.wikipedia.org/wiki/Půdy,1,,
http://psh.ntkcz.cz/skos/PSH6255,http://cs.wikipedia.org/wiki/Guanin,1,,
http://psh.ntkcz.cz/skos/PSH3423,http://cs.wikipedia.org/wiki/Optika,1,,
http://psh.ntkcz.cz/skos/PSH13856,http://cs.wikipedia.org/wiki/Im,"0,5",http://cs.wikipedia.org/wiki/IMS,
http://psh.ntkcz.cz/skos/PSH13517,http://cs.wikipedia.org/wiki/Sluneční záření,1,,
http://psh.ntkcz.cz/skos/PSH3258,http://cs.wikipedia.org/wiki/Termodynamické zákony,1,,
http://psh.ntkcz.cz/skos/PSH8672,http://cs.wikipedia.org/wiki/Cukry,1,http://cs.wikipedia.org/wiki/Cukr,"přijde mi lepší tento článek, jelikož se jedná o cukr z pohledu potravinářské výroby nikoli chemie:"
http://psh.ntkcz.cz/skos/PSH7571,http://cs.wikipedia.org/wiki/Integrální transformace,1,,
http://psh.ntkcz.cz/skos/PSH2253,http://cs.wikipedia.org/wiki/Elektrické stroje,1,,
http://psh.ntkcz.cz/skos/PSH4441,http://cs.wikipedia.org/wiki/Strukturní geologie,1,,
http://psh.ntkcz.cz/skos/PSH407,http://cs.wikipedia.org/wiki/Trpaslíci,0,,neexistuje přesný článek na toto téma
http://psh.ntkcz.cz/skos/PSH13321,http://cs.wikipedia.org/wiki/Plodiny,1,,
http://psh.ntkcz.cz/skos/PSH4418,http://cs.wikipedia.org/wiki/Politická geografie,1,,
http://psh.ntkcz.cz/skos/PSH11657,http://cs.wikipedia.org/wiki/Expresionismus,1,,
http://psh.ntkcz.cz/skos/PSH1150,http://cs.wikipedia.org/wiki/Metro,1,,
http://psh.ntkcz.cz/skos/PSH6826,http://cs.wikipedia.org/wiki/Frazeologie,1,,
http://psh.ntkcz.cz/skos/PSH1436,http://cs.wikipedia.org/wiki/Agregátní nabídka,1,,
http://psh.ntkcz.cz/skos/PSH8208,http://cs.wikipedia.org/wiki/Základní vzdělání,1,,
http://psh.ntkcz.cz/skos/PSH11906,http://cs.wikipedia.org/wiki/Tanec,1,,
http://psh.ntkcz.cz/skos/PSH5960,http://cs.wikipedia.org/wiki/Nonan,1,,
http://psh.ntkcz.cz/skos/PSH7974,http://cs.wikipedia.org/wiki/New Age,1,,
http://psh.ntkcz.cz/skos/PSH6897,http://cs.wikipedia.org/wiki/Dialog,1,,
http://psh.ntkcz.cz/skos/PSH7981,http://cs.wikipedia.org/wiki/Odolnost,"0,5",,
http://psh.ntkcz.cz/skos/PSH12386,http://cs.wikipedia.org/wiki/FDDI,1,,
